,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,RigidBody 1,RigidBody 1,RigidBody 1,RigidBody 1,RigidBody 1,RigidBody 1,RigidBody 1,RigidBody 1,Marker1,Marker1,Marker1,Marker1,Marker2,Marker2,Marker2,Marker2,Marker3,Marker3,Marker3,Marker3,RigidBody 1:Marker1,RigidBody 1:Marker1,RigidBody 1:Marker1,RigidBody 1:Marker2,RigidBody 1:Marker2,RigidBody 1:Marker2,RigidBody 1:Marker3,RigidBody 1:Marker3,RigidBody 1:Marker3,Unlabeled:5000,Unlabeled:5000,Unlabeled:5000
,,"8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E3573100000001","8392B20CF49E3573100000001","8392B20CF49E3573100000001","8392B20CF49E3573100000002","8392B20CF49E3573100000002","8392B20CF49E3573100000002","8392B20CF49E3573100000003","8392B20CF49E3573100000003","8392B20CF49E3573100000003","8392B20CF49E35701388","8392B20CF49E35701388","8392B20CF49E35701388"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Error Per Marker,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
11,0.091667,0.253553,-0.119983,-0.035679,-0.959188,-0.099792,0.053126,0.133140,0.000083,-0.299503,0.052999,0.000103,0.981184,0.000125,0.053381,0.000019,0.968760,0.000002,0.052999,0.399299,0.987546,-0.299576,0.052999,0.000106,0.000202,0.053381,0.000068,-0.000000,0.052999,0.399248,-0.492948,0.043880,0.367745
12,0.100000,0.253698,-0.120115,-0.035439,-0.959142,-0.099796,0.053077,0.133072,0.000082,-0.299525,0.052999,0.000061,0.982752,0.000103,0.053234,-0.000063,0.969251,0.000033,0.052999,0.399217,0.986470,-0.299576,0.052999,0.000106,0.000189,0.053234,-0.000140,-0.000000,0.052999,0.399248,-0.493003,0.045501,0.367561
13,0.108333,0.253662,-0.120070,-0.035496,-0.959155,-0.099788,0.053090,0.133092,0.000070,-0.299509,0.052999,0.000070,0.979801,0.000119,0.053271,-0.000038,0.973889,0.000026,0.052999,0.399242,0.994058,-0.299576,0.052999,0.000106,0.000213,0.053271,-0.000079,-0.000000,0.052999,0.399248,-0.492739,0.045736,0.367608
14,0.116667,0.253768,-0.120068,-0.035673,-0.959121,-0.099757,0.053187,0.133141,0.000104,-0.299490,0.052999,0.000137,0.973174,0.000138,0.053381,0.000004,0.969117,0.000080,0.053180,0.399284,0.979895,-0.299576,0.052999,0.000106,0.000202,0.053381,0.000068,0.000103,0.053180,0.399251,-0.492262,0.046159,0.367688
15,0.125000,0.253622,-0.120026,-0.035561,-0.959169,-0.099780,0.053103,0.133110,0.000065,-0.299495,0.052999,0.000078,0.976959,0.000133,0.053312,-0.000013,0.975786,0.000020,0.052999,0.399266,0.998797,-0.299576,0.052999,0.000106,0.000236,0.053312,-0.000022,-0.000000,0.052999,0.399248,-0.492125,0.046304,0.367650
16,0.133333,0.253593,-0.120026,-0.035614,-0.959175,-0.099799,0.053113,0.133122,0.000057,-0.299517,0.052999,0.000095,0.984056,0.000111,0.053340,-0.000005,0.978662,0.000008,0.052999,0.399275,0.994576,-0.299576,0.052999,0.000106,0.000179,0.053340,0.000011,-0.000000,0.052999,0.399248,-0.491936,0.046486,0.367651
17,0.141667,0.253553,-0.119983,-0.035679,-0.959188,-0.099792,0.053126,0.133140,0.000083,-0.299503,0.052999,0.000103,0.981184,0.000125,0.053381,0.000019,0.968760,0.000002,0.052999,0.399299,0.987546,-0.299576,0.052999,0.000106,0.000202,0.053381,0.000068,-0.000000,0.052999,0.399248,-0.491816,0.046560,0.367749
18,0.150000,0.253662,-0.120070,-0.035496,-0.959155,-0.099788,0.053090,0.133092,0.000070,-0.299509,0.052999,0.000070,0.979801,0.000119,0.053271,-0.000038,0.973889,0.000026,0.052999,0.399242,0.994058,-0.299576,0.052999,0.000106,0.000213,0.053271,-0.000079,-0.000000,0.052999,0.399248,-0.491484,0.046602,0.367958
19,0.158333,0.253574,-0.120020,-0.035648,-0.959179,-0.099803,0.053119,0.133124,0.000055,-0.299522,0.052999,0.000098,0.985486,0.000106,0.053359,-0.000003,0.979351,0.000006,0.052999,0.399276,0.993835,-0.299576,0.052999,0.000106,0.000167,0.053359,0.000017,-0.000000,0.052999,0.399248,-0.491378,0.045358,0.368222
20,0.166667,0.253658,-0.120070,-0.035505,-0.959156,-0.099788,0.053091,0.133090,0.000071,-0.299510,0.052999,0.000069,0.979902,0.000118,0.053275,-0.000039,0.973506,0.000027,0.052999,0.399241,0.993574,-0.299576,0.052999,0.000106,0.000212,0.053275,-0.000083,-0.000000,0.052999,0.399248,-0.490926,0.044891,0.368423
