,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,RigidBody 1,RigidBody 1,RigidBody 1,RigidBody 1,RigidBody 1,RigidBody 1,RigidBody 1,RigidBody 1,Marker1,Marker1,Marker1,Marker1,Marker2,Marker2,Marker2,Marker2,Marker3,Marker3,Marker3,Marker3,RigidBody 1:Marker1,RigidBody 1:Marker1,RigidBody 1:Marker1,RigidBody 1:Marker2,RigidBody 1:Marker2,RigidBody 1:Marker2,RigidBody 1:Marker3,RigidBody 1:Marker3,RigidBody 1:Marker3,Unlabeled:5000,Unlabeled:5000,Unlabeled:5000
,,"8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E3573100000001","8392B20CF49E3573100000001","8392B20CF49E3573100000001","8392B20CF49E3573100000002","8392B20CF49E3573100000002","8392B20CF49E3573100000002","8392B20CF49E3573100000003","8392B20CF49E3573100000003","8392B20CF49E3573100000003","8392B20CF49E35701388","8392B20CF49E35701388","8392B20CF49E35701388"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Error Per Marker,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
11,0.091667,0.253714,-0.120289,-0.035347,-0.959120,-0.099844,0.053264,0.133105,0.000187,-0.299611,0.053227,0.000153,0.931078,0.000017,0.053384,-0.000059,0.955777,0.000064,0.053180,0.399221,0.972969,-0.299806,0.053227,0.000099,0.000167,0.053384,-0.000038,0.000103,0.053180,0.399251,-0.375608,0.030187,0.340829
12,0.100000,0.253721,-0.119910,-0.036109,-0.959137,-0.099869,0.053153,0.133092,0.000347,-0.299591,0.052813,0.000071,0.893382,0.000037,0.053466,-0.000038,0.925230,-0.000054,0.053180,0.399242,0.920782,-0.299877,0.052812,-0.000143,0.000158,0.053466,0.000161,0.000103,0.053180,0.399251,-0.375608,0.030187,0.340829
13,0.108333,0.253714,-0.120289,-0.035347,-0.959120,-0.099844,0.053264,0.133105,0.000187,-0.299611,0.053227,0.000153,0.931078,0.000017,0.053384,-0.000059,0.955777,0.000064,0.053180,0.399221,0.972969,-0.299806,0.053227,0.000099,0.000167,0.053384,-0.000038,0.000103,0.053180,0.399251,-0.375608,0.030187,0.340829
14,0.116667,0.253889,-0.120052,-0.035828,-0.959085,-0.099850,0.053096,0.132993,0.000338,-0.299588,0.052813,-0.000002,0.886591,0.000039,0.053296,-0.000150,0.928802,0.000000,0.053180,0.399130,0.931145,-0.299877,0.052812,-0.000143,0.000213,0.053296,-0.000136,0.000103,0.053180,0.399251,-0.375608,0.030187,0.340829
15,0.125000,0.253590,-0.120193,-0.035556,-0.959157,-0.099847,0.053305,0.133154,0.000228,-0.299604,0.053227,0.000186,0.931864,0.000024,0.053509,-0.000002,0.940269,0.000040,0.053180,0.399278,0.956675,-0.299806,0.053227,0.000099,0.000160,0.053509,0.000111,0.000103,0.053180,0.399251,-0.375608,0.030187,0.340829
16,0.133333,0.253787,-0.119954,-0.035997,-0.959118,-0.099857,0.053131,0.133063,0.000329,-0.299582,0.052813,0.000048,0.889374,0.000045,0.053400,-0.000069,0.932081,-0.000034,0.053180,0.399211,0.931641,-0.299877,0.052812,-0.000143,0.000190,0.053400,0.000074,0.000103,0.053180,0.399251,-0.375608,0.030187,0.340829
17,0.141667,0.253729,-0.119937,-0.036099,-0.959132,-0.099863,0.053150,0.133060,0.000320,-0.299590,0.052813,0.000048,0.891497,0.000037,0.053457,-0.000074,0.935605,-0.000035,0.053180,0.399206,0.933042,-0.299877,0.052812,-0.000143,0.000173,0.053457,0.000063,0.000103,0.053180,0.399251,-0.375608,0.030187,0.340829
18,0.150000,0.253554,-0.120318,-0.035491,-0.959153,-0.099837,0.053261,0.133101,0.000217,-0.299622,0.053227,0.000175,0.940556,0.000006,0.053450,-0.000076,0.939103,0.000105,0.053104,0.399204,0.957472,-0.299806,0.053227,0.000099,0.000134,0.053450,0.000051,0.000160,0.053104,0.399154,-0.375531,0.030232,0.340997
19,0.158333,0.253698,-0.119898,-0.036149,-0.959143,-0.099868,0.053161,0.133092,0.000349,-0.299589,0.052813,0.000071,0.893047,0.000038,0.053489,-0.000037,0.924727,-0.000053,0.053180,0.399243,0.920614,-0.299877,0.052812,-0.000143,0.000161,0.053489,0.000162,0.000103,0.053180,0.399251,-0.375531,0.030232,0.340997
20,0.166667,0.253889,-0.120052,-0.035828,-0.959085,-0.099850,0.053096,0.132993,0.000338,-0.299588,0.052813,-0.000002,0.886591,0.000039,0.053296,-0.000150,0.928802,0.000000,0.053180,0.399130,0.931145,-0.299877,0.052812,-0.000143,0.000213,0.053296,-0.000136,0.000103,0.053180,0.399251,-0.375531,0.030232,0.340997
21,0.175000,0.253854,-0.120009,-0.035884,-0.959098,-0.099841,0.053108,0.133014,0.000326,-0.299572,0.052813,0.000008,0.883644,0.000056,0.053332,-0.000123,0.933422,-0.000005,0.053180,0.399157,0.938712,-0.299877,0.052812,-0.000143,0.000237,0.053332,-0.000075,0.000103,0.053180,0.399251,-0.375387,0.029921,0.340977
