,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,RigidBody 1,RigidBody 1,RigidBody 1,RigidBody 1,RigidBody 1,RigidBody 1,RigidBody 1,RigidBody 1,Marker1,Marker1,Marker1,Marker1,Marker2,Marker2,Marker2,Marker2,Marker3,Marker3,Marker3,Marker3,finger:Unlabeled:5286,finger:Unlabeled:5286,finger:Unlabeled:5286,RigidBody 1:Marker1,RigidBody 1:Marker1,RigidBody 1:Marker1,RigidBody 1:Marker2,RigidBody 1:Marker2,RigidBody 1:Marker2,RigidBody 1:Marker3,RigidBody 1:Marker3,RigidBody 1:Marker3
,,"8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E3571947000000000","8392B20CF49E3571947000000000","8392B20CF49E3571947000000000","8392B20CF49E3573100000001","8392B20CF49E3573100000001","8392B20CF49E3573100000001","8392B20CF49E3573100000002","8392B20CF49E3573100000002","8392B20CF49E3573100000002","8392B20CF49E3573100000003","8392B20CF49E3573100000003","8392B20CF49E3573100000003"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Error Per Marker,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
11,0.091667,-0.000000,0.000000,0.000000,-1.000000,-0.025347,0.052338,0.063451,0.000000,0.068175,0.053300,-0.073635,1.000000,-0.230731,0.052265,-0.061035,0.999996,0.086514,0.051448,0.325023,0.999996,,,,0.068175,0.053300,-0.073635,-0.230731,0.052265,-0.061035,0.086514,0.051448,0.325023
12,0.100000,-0.000021,-0.000022,-0.000026,-1.000000,-0.025355,0.052343,0.063437,0.000022,0.068161,0.053317,-0.073653,0.991763,-0.230744,0.052265,-0.061041,0.997322,0.086517,0.051448,0.325004,0.994434,,,,0.068152,0.053317,-0.073678,-0.230731,0.052265,-0.061035,0.086514,0.051448,0.325023
13,0.108333,-0.000130,-0.000008,-0.000157,-1.000000,-0.025395,0.052371,0.063454,0.000067,0.068124,0.053398,-0.073632,0.982379,-0.230780,0.052266,-0.061029,0.981921,0.086471,0.051448,0.325024,0.985408,,,,0.068063,0.053398,-0.073572,-0.230762,0.052266,-0.061087,0.086514,0.051448,0.325023
14,0.116667,-0.000124,0.000017,-0.000149,-1.000000,-0.025387,0.052369,0.063472,0.000078,0.068139,0.053393,-0.073610,0.978334,-0.230766,0.052266,-0.061022,0.984607,0.086465,0.051448,0.325047,0.978676,,,,0.068087,0.053393,-0.073520,-0.230762,0.052266,-0.061087,0.086514,0.051448,0.325023
15,0.125000,-0.000014,-0.000002,-0.000015,-1.000000,-0.025366,0.052342,0.063418,0.000039,0.068156,0.053311,-0.073668,0.992933,-0.230749,0.052266,-0.061067,0.991383,0.086497,0.051448,0.324989,0.986500,,,,0.068152,0.053311,-0.073681,-0.230762,0.052266,-0.061087,0.086514,0.051448,0.325023
16,0.133333,-0.000012,-0.000002,-0.000013,-1.000000,-0.025365,0.052341,0.063418,0.000039,0.068156,0.053310,-0.073668,0.992877,-0.230749,0.052266,-0.061068,0.991320,0.086497,0.051448,0.324990,0.986507,,,,0.068153,0.053310,-0.073681,-0.230762,0.052266,-0.061087,0.086514,0.051448,0.325023
17,0.141667,-0.000135,-0.000006,-0.000163,-1.000000,-0.025395,0.052372,0.063456,0.000069,0.068125,0.053402,-0.073630,0.981754,-0.230780,0.052266,-0.061028,0.981996,0.086470,0.051448,0.325027,0.984708,,,,0.068064,0.053401,-0.073567,-0.230762,0.052266,-0.061087,0.086514,0.051448,0.325023
18,0.150000,-0.000138,-0.000028,-0.000168,-1.000000,-0.025385,0.052372,0.063473,0.000058,0.068130,0.053404,-0.073618,0.978185,-0.230775,0.052265,-0.061002,0.985624,0.086491,0.051448,0.325038,0.992553,,,,0.068062,0.053403,-0.073569,-0.230731,0.052265,-0.061035,0.086514,0.051448,0.325023
19,0.158333,-0.000107,-0.000059,-0.000025,-1.000000,-0.025365,0.052388,0.063523,0.000110,0.068141,0.053385,-0.073573,0.971777,-0.230763,0.052332,-0.060939,0.971788,0.086527,0.051448,0.325082,0.973778,,,,0.068088,0.053384,-0.073525,-0.230697,0.052332,-0.060927,0.086514,0.051448,0.325023
20,0.166667,-0.000019,-0.000038,0.000008,-1.000000,-0.025340,0.052350,0.063454,0.000060,0.068172,0.053316,-0.073639,0.986071,-0.230733,0.052285,-0.061017,0.983080,0.086541,0.051448,0.325017,0.985490,,,,0.068151,0.053316,-0.073680,-0.230685,0.052285,-0.060982,0.086514,0.051448,0.325023
