,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,RigidBody 1,RigidBody 1,RigidBody 1,RigidBody 1,RigidBody 1,RigidBody 1,RigidBody 1,RigidBody 1,Marker1,Marker1,Marker1,Marker1,Marker2,Marker2,Marker2,Marker2,Marker3,Marker3,Marker3,Marker3,RigidBody 1:Marker1,RigidBody 1:Marker1,RigidBody 1:Marker1,RigidBody 1:Marker2,RigidBody 1:Marker2,RigidBody 1:Marker2,RigidBody 1:Marker3,RigidBody 1:Marker3,RigidBody 1:Marker3,Unlabeled:5003,Unlabeled:5003,Unlabeled:5003
,,"8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E3573100000001","8392B20CF49E3573100000001","8392B20CF49E3573100000001","8392B20CF49E3573100000002","8392B20CF49E3573100000002","8392B20CF49E3573100000002","8392B20CF49E3573100000003","8392B20CF49E3573100000003","8392B20CF49E3573100000003","8392B20CF49E3570138B","8392B20CF49E3570138B","8392B20CF49E3570138B"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Error Per Marker,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
25,0.208333,0.253437,-0.121346,-0.033068,-0.959141,-0.099483,0.053662,0.133462,0.000738,-0.299366,0.054609,0.000687,0.728464,0.000258,0.053275,0.000210,0.913335,0.000658,0.053102,0.399489,0.804549,-0.298758,0.054606,0.001424,0.000212,0.053275,-0.000083,0.000160,0.053104,0.399154,-0.347354,0.030357,0.185154
26,0.216667,0.253168,-0.121095,-0.033298,-0.959236,-0.099539,0.053676,0.133526,0.000750,-0.299374,0.054609,0.000677,0.724783,0.000252,0.053424,0.000310,0.911461,0.000504,0.052997,0.399590,0.801081,-0.298758,0.054606,0.001424,0.000205,0.053424,0.000017,-0.000000,0.052999,0.399248,-0.347354,0.030357,0.185154
27,0.225000,0.253350,-0.121299,-0.033221,-0.959165,-0.099499,0.053691,0.133500,0.000786,-0.299380,0.054609,0.000722,0.722674,0.000245,0.053363,0.000249,0.895480,0.000639,0.053102,0.399528,0.792483,-0.298758,0.054606,0.001424,0.000167,0.053363,0.000013,0.000160,0.053104,0.399154,-0.347354,0.030357,0.185154
28,0.233333,0.253443,-0.121227,-0.033190,-0.959150,-0.099520,0.053716,0.133528,0.000740,-0.299381,0.054609,0.000719,0.727976,0.000244,0.053363,0.000292,0.907546,0.000576,0.053178,0.399572,0.809850,-0.298758,0.054606,0.001424,0.000167,0.053363,0.000013,0.000103,0.053180,0.399251,-0.347354,0.030357,0.185154
29,0.241667,0.253136,-0.121228,-0.032865,-0.959242,-0.099501,0.053753,0.133584,0.000886,-0.299339,0.054860,0.000743,0.680441,0.000285,0.053403,0.000365,0.886900,0.000551,0.052996,0.399645,0.768373,-0.298612,0.054855,0.001577,0.000205,0.053404,0.000069,-0.000000,0.052999,0.399248,-0.347354,0.030357,0.185154
30,0.250000,0.253350,-0.121441,-0.032732,-0.959164,-0.099435,0.053757,0.133525,0.000869,-0.299318,0.054859,0.000752,0.687068,0.000305,0.053311,0.000271,0.890592,0.000709,0.053101,0.399551,0.770690,-0.298612,0.054855,0.001577,0.000236,0.053312,-0.000022,0.000160,0.053104,0.399154,-0.347354,0.030357,0.185154
31,0.258333,0.253325,-0.121324,-0.032909,-0.959179,-0.099494,0.053822,0.133601,0.000898,-0.299360,0.054859,0.000801,0.679513,0.000264,0.053429,0.000361,0.874350,0.000614,0.053177,0.399641,0.772597,-0.298612,0.054855,0.001577,0.000134,0.053430,0.000101,0.000103,0.053180,0.399251,-0.347354,0.030357,0.185154
32,0.266667,0.253410,-0.121368,-0.032762,-0.959156,-0.099479,0.053793,0.133564,0.000852,-0.299346,0.054859,0.000765,0.685124,0.000278,0.053344,0.000323,0.891657,0.000631,0.053177,0.399603,0.784295,-0.298612,0.054855,0.001577,0.000178,0.053344,0.000008,0.000103,0.053180,0.399251,-0.347354,0.030357,0.185154
33,0.275000,0.253061,-0.121350,-0.032871,-0.959246,-0.099498,0.053721,0.133512,0.000909,-0.299368,0.054860,0.000719,0.670498,0.000256,0.053383,0.000269,0.883588,0.000618,0.052920,0.399549,0.764409,-0.298612,0.054855,0.001577,0.000167,0.053384,-0.000038,0.000057,0.052924,0.399151,-0.347354,0.030357,0.185154
34,0.283333,0.253443,-0.121367,-0.032701,-0.959149,-0.099457,0.053783,0.133552,0.000823,-0.299319,0.054859,0.000747,0.692366,0.000305,0.053311,0.000315,0.902658,0.000645,0.053177,0.399595,0.788053,-0.298612,0.054855,0.001577,0.000236,0.053312,-0.000022,0.000103,0.053180,0.399251,-0.347354,0.030357,0.185154
