,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,RigidBody 1,RigidBody 1,RigidBody 1,RigidBody 1,RigidBody 1,RigidBody 1,RigidBody 1,RigidBody 1,Marker1,Marker1,Marker1,Marker1,Marker2,Marker2,Marker2,Marker2,Marker3,Marker3,Marker3,Marker3,RigidBody 1:Marker1,RigidBody 1:Marker1,RigidBody 1:Marker1,RigidBody 1:Marker2,RigidBody 1:Marker2,RigidBody 1:Marker2,RigidBody 1:Marker3,RigidBody 1:Marker3,RigidBody 1:Marker3,Unlabeled:5000,Unlabeled:5000,Unlabeled:5000,Unlabeled:5036,Unlabeled:5036,Unlabeled:5036,Unlabeled:5037,Unlabeled:5037,Unlabeled:5037
,,"8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E35731","8392B20CF49E3573100000001","8392B20CF49E3573100000001","8392B20CF49E3573100000001","8392B20CF49E3573100000002","8392B20CF49E3573100000002","8392B20CF49E3573100000002","8392B20CF49E3573100000003","8392B20CF49E3573100000003","8392B20CF49E3573100000003","8392B20CF49E35701388","8392B20CF49E35701388","8392B20CF49E35701388","8392B20CF49E357013AC","8392B20CF49E357013AC","8392B20CF49E357013AC","8392B20CF49E357013AD","8392B20CF49E357013AD","8392B20CF49E357013AD"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Error Per Marker,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
9,0.075000,0.111311,-0.546809,-0.071380,-0.826749,-0.104345,0.052459,0.143440,0.001304,-0.005964,0.052528,0.009038,0.767065,-0.304915,0.052197,0.012236,0.513280,-0.002157,0.052651,0.409046,0.741327,-0.006438,0.052527,0.008754,-0.303531,0.052199,0.013098,-0.002625,0.052650,0.408743,-0.483638,0.043933,0.325635,,,,,,
10,0.083333,0.111270,-0.546756,-0.071309,-0.826797,-0.104450,0.052475,0.143335,0.000872,-0.006049,0.052530,0.008948,0.837715,-0.305001,0.052246,0.012101,0.676142,-0.002301,0.052649,0.408957,0.832086,-0.006442,0.052530,0.008753,-0.304113,0.052247,0.012614,-0.002627,0.052649,0.408736,-0.483647,0.043929,0.325632,,,,,,
11,0.091667,0.111455,-0.546779,-0.071593,-0.826731,-0.104387,0.052406,0.143413,0.001139,-0.006006,0.052526,0.009011,0.796167,-0.304957,0.052040,0.012209,0.575276,-0.002199,0.052652,0.409019,0.773983,-0.006445,0.052525,0.008751,-0.303773,0.052042,0.012947,-0.002628,0.052651,0.408738,-0.483640,0.043933,0.325633,,,,,,
12,0.100000,0.111455,-0.546779,-0.071593,-0.826731,-0.104387,0.052406,0.143413,0.001139,-0.006006,0.052526,0.009011,0.796167,-0.304957,0.052040,0.012209,0.575276,-0.002199,0.052652,0.409019,0.773983,,,,,,,,,,-0.483630,0.043935,0.325625,,,,,,
13,0.108333,0.112766,-0.546701,-0.073674,-0.826422,-0.105388,0.051908,0.142923,0.001599,-0.007074,0.052520,0.008473,0.690805,-0.306017,0.050558,0.011816,0.402579,-0.003073,0.052646,0.408479,0.707483,-0.006449,0.052524,0.008746,-0.307860,0.050546,0.010895,-0.002635,0.052649,0.408737,-0.483634,0.043942,0.325632,,,,,,
14,0.116667,0.111540,-0.546726,-0.071726,-0.826744,-0.104470,0.052372,0.143344,0.000869,-0.006077,0.052525,0.008951,0.841083,-0.305029,0.051943,0.012123,0.677058,-0.002305,0.052647,0.408959,0.830216,-0.006455,0.052525,0.008749,-0.304149,0.051945,0.012651,-0.002640,0.052647,0.408734,-0.483643,0.043931,0.325627,,,,,,
15,0.125000,0.111531,-0.546729,-0.071700,-0.826745,-0.104483,0.052375,0.143336,0.000846,-0.006090,0.052522,0.008943,0.845516,-0.305041,0.051955,0.012115,0.685459,-0.002317,0.052649,0.408951,0.834832,-0.006459,0.052521,0.008744,-0.304186,0.051957,0.012629,-0.002646,0.052648,0.408731,-0.483650,0.043935,0.325636,,,,,,
16,0.133333,0.111544,-0.546715,-0.071726,-0.826751,-0.104498,0.052372,0.143321,0.000801,-0.006102,0.052526,0.008930,0.852091,-0.305053,0.051942,0.012094,0.702346,-0.002340,0.052649,0.408938,0.844518,-0.006462,0.052525,0.008744,-0.304245,0.051943,0.012570,-0.002648,0.052649,0.408730,-0.483652,0.043940,0.325651,,,,,,
17,0.141667,0.111524,-0.546717,-0.071697,-0.826754,-0.104506,0.052380,0.143315,0.000789,-0.006109,0.052527,0.008925,0.853849,-0.305060,0.051964,0.012088,0.707207,-0.002348,0.052649,0.408933,0.847263,-0.006467,0.052526,0.008744,-0.304266,0.051966,0.012553,-0.002650,0.052649,0.408728,-0.483656,0.043942,0.325649,,,,,,
18,0.150000,0.111527,-0.546717,-0.071699,-0.826754,-0.104513,0.052378,0.143306,0.000772,-0.006116,0.052525,0.008916,0.856908,-0.305067,0.051960,0.012079,0.713533,-0.002355,0.052649,0.408924,0.850709,-0.006468,0.052525,0.008738,-0.304291,0.051962,0.012532,-0.002651,0.052648,0.408723,-0.483653,0.043943,0.325656,,,,,,
