,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,RigidBody 1,RigidBody 1,RigidBody 1,RigidBody 1,RigidBody 1,RigidBody 1,RigidBody 1,RigidBody 1,Marker1,Marker1,Marker1,Marker1,Marker2,Marker2,Marker2,Marker2,Marker3,Marker3,Marker3,Marker3,RigidBody 1:Marker1,RigidBody 1:Marker1,RigidBody 1:Marker1,RigidBody 1:Marker2,RigidBody 1:Marker2,RigidBody 1:Marker2,RigidBody 1:Marker3,RigidBody 1:Marker3,RigidBody 1:Marker3,Unlabeled:5000,Unlabeled:5000,Unlabeled:5000
,,8392B20CF49E35731,8392B20CF49E35731,8392B20CF49E35731,8392B20CF49E35731,8392B20CF49E35731,8392B20CF49E35731,8392B20CF49E35731,8392B20CF49E35731,8392B20CF49E35731,8392B20CF49E35731,8392B20CF49E35731,8392B20CF49E35731,8392B20CF49E35731,8392B20CF49E35731,8392B20CF49E35731,8392B20CF49E35731,8392B20CF49E35731,8392B20CF49E35731,8392B20CF49E35731,8392B20CF49E35731,8392B20CF49E3573100000001,8392B20CF49E3573100000001,8392B20CF49E3573100000001,8392B20CF49E3573100000002,8392B20CF49E3573100000002,8392B20CF49E3573100000002,8392B20CF49E3573100000003,8392B20CF49E3573100000003,8392B20CF49E3573100000003,8392B20CF49E3571D13E00000000,8392B20CF49E3571D13E00000000,8392B20CF49E3571D13E00000000
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Error Per Marker,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
11,0.091667,0.256613,-0.503691,-0.149393,-0.81125,-0.100026,0.053395,0.134083,0.000342,0.000235,0.053644,0.00028,0.94415,-0.300495,0.053563,0.000999,0.913629,0.000183,0.052978,0.400971,0.885466,0.000261,0.053644,0.000334,-0.300359,0.053562,0.001215,0.000015,0.052978,0.400689,-0.392995,0.031539,0.336308
12,0.1,0.25663,-0.503672,-0.149416,-0.811252,-0.100033,0.053383,0.134085,0.000328,0.000231,0.053639,0.000284,0.947075,-0.300499,0.053538,0.000996,0.918565,0.000168,0.052973,0.400975,0.888513,0.000264,0.053639,0.00034,-0.300375,0.053538,0.001205,0.000005,0.052973,0.400699,-0.393022,0.031517,0.33628
13,0.108333,0.256621,-0.503685,-0.149395,-0.811251,-0.100028,0.05339,0.134083,0.000332,0.000235,0.053639,0.000281,0.946408,-0.300496,0.053553,0.000997,0.917273,0.000177,0.052977,0.400972,0.887574,0.000266,0.053639,0.000336,-0.300369,0.053553,0.001208,0.000013,0.052977,0.400694,-0.392989,0.03157,0.336277
14,0.116667,0.25663,-0.503689,-0.149397,-0.811245,-0.100024,0.053391,0.134079,0.000334,0.000237,0.053639,0.000276,0.94592,-0.300494,0.05355,0.000995,0.917712,0.000184,0.052984,0.400967,0.885902,0.000271,0.053639,0.000336,-0.30037,0.05355,0.001206,0.000019,0.052984,0.400683,-0.392989,0.031586,0.336287
15,0.125,0.256622,-0.503688,-0.149383,-0.811251,-0.100029,0.053391,0.134084,0.000331,0.000234,0.053637,0.000282,0.946669,-0.300497,0.053556,0.000998,0.915618,0.000176,0.05298,0.400973,0.88931,0.00026,0.053636,0.00033,-0.300363,0.053556,0.001211,0.000011,0.05298,0.400702,-0.392975,0.031592,0.33628
16,0.133333,0.256629,-0.503688,-0.14939,-0.811248,-0.100028,0.053387,0.134082,0.00033,0.000235,0.053634,0.000279,0.946386,-0.300496,0.053548,0.000996,0.916788,0.000178,0.052979,0.40097,0.889102,0.000261,0.053633,0.000332,-0.300365,0.053548,0.001206,0.000015,0.05298,0.400698,-0.392977,0.031575,0.336272
17,0.141667,0.256665,-0.503688,-0.149404,-0.811234,-0.100024,0.053386,0.134079,0.000324,0.000238,0.053632,0.000275,0.948408,-0.300493,0.053527,0.000995,0.917895,0.000185,0.052998,0.400966,0.890942,0.000267,0.053632,0.000322,-0.300365,0.053527,0.001206,0.000021,0.052998,0.400699,-0.392978,0.031573,0.336265
18,0.15,0.256645,-0.503695,-0.149377,-0.81124,-0.100028,0.053389,0.134076,0.000332,0.000233,0.053629,0.000272,0.945655,-0.300497,0.053546,0.000991,0.917273,0.00018,0.052993,0.400963,0.887954,0.000261,0.053629,0.00033,-0.300369,0.053545,0.001199,0.000018,0.052993,0.400687,-0.393005,0.031559,0.336278
19,0.158333,0.256635,-0.503684,-0.149413,-0.811244,-0.100028,0.05338,0.134079,0.00033,0.000233,0.053633,0.000275,0.945816,-0.300498,0.053533,0.000994,0.917448,0.000179,0.052974,0.400966,0.888886,0.000259,0.053633,0.000332,-0.300369,0.053533,0.001201,0.000019,0.052974,0.400692,-0.393024,0.031526,0.336262
20,0.166667,0.25663,-0.503682,-0.149399,-0.81125,-0.100028,0.053388,0.134075,0.000332,0.000235,0.053638,0.000273,0.945965,-0.300496,0.053546,0.000988,0.916557,0.000176,0.052979,0.400964,0.888577,0.000261,0.053638,0.000327,-0.300365,0.053546,0.001197,0.000012,0.05298,0.40069,-0.393029,0.031521,0.33627
